chewy_scraper_sample (1)
url,name,Brand,Description,Overall_Rating,Price,Main Ingredients,Ingredient_Analysis,Guaranteed_Analysis,Life_Stage,Allergy,Human_Grade,Images
https://www.chewy.com/iams-proactive-health-minichunks/dp/171999,"Iams Proactive Health Minichunks Adult Lamb & Rice Dry Dog Food
","Iams
","Scientifically formulated to support 5 key areas of dogs’ health, so your buddy stays happy and full of life.
Supports healthy digestion and better nutrient absorption with its special blend of natural fiber and prebiotics.
With added omega-6 fatty acids that help support healthy skin and a glossy coat.
Essential antioxidants are added to help your pal have a strong immune system.
High-quality protein sourced from lamb and egg helps build and maintain muscle.
",4.6,$47.98,Lamb,"Lamb, Brewers Rice, Chicken By-Product Meal, Ground Whole Grain Barley, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Corn Gluten Meal, Chicken Fat (preserved with Mixed Tocopherols), Chicken Meal, Dried Plain Beet Pulp, Natural Flavor, Brewers Yeast, Dried Egg Product, Flaxseed, Potassium Chloride, Caramel Color, Carrots, Fructooligosaccharides, Choline Chloride, Vitamins (Vitamin E Supplement, Ascorbic Acid, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Vitamin A Supplement, Niacin, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Folic Acid), Minerals (Ferrous Sulfate, Zinc Oxide, Sodium Selenite, Manganese Sulfate, Manganous Oxide, Potassium Iodide), Mixed Tocopherols (Preservative), Citric Acid (Preservative), Rosemary Extract","Crude Protein: 25.0% min
Crude Fat: 14.0% min
Crude Fiber: 5.0% max
Moisture: 10.0% max
Selenium: 0.35 mg/kg min
Vitamin E: 60 IU/kg min
Omega-6 Fatty Acids: 1.75% min",,,,
https://www.chewy.com/quick-tag-star-wars-mandalorians/dp/312688,Quick-Tag Star Wars The Mandalorian's The Child Baby Yoda Military Personalized Dog & Cat ID Tag,Quick-Tag,"If your pet is the Grogu to your Mando, the Quick-Tag Star Wars The Mandalorian's The Child Baby Yoda Military Personalized Dog & Cat ID Tag is a must! This super sturdy tag is made out of brass and painted with a fun design. It’s the paw-fect size to hold all of your pal’s important information like medical conditions, addresses, and phone numbers. To top it off, the customizable side features permanent, clear laser engraving, helping it endure tons of wear and tear. For a collar charm that’s as cute as your BFF, this tag is your best bet!",,$19.99,,,,,,,
https://www.chewy.com/pet-md-deodorizing-sweet-pea-vanilla/dp/654094,"Pet MD Deodorizing Sweet Pea & Vanilla Cat & Dog Body Spray, 8 oz bottle",Pet MD,"Help tame your fur baby’s coat and control any odors with Pet MD Deodorizing Sweet Pea & Vanilla Cat & Dog Body Spray! Made in the USA, this water-based, deodorizing spray is infused with all-natural sweet pea and vanilla fragrances—it is gentle enough to use on pets with sensitive skin, including cats, dogs, horses, and pocket pets over 12 weeks old. It is designed to eliminate odors for long periods of time, including those in hard-to-reach areas like skin folds and undercoats. It naturally reduces static as well, so it is helpful for taming wild coats. Its refreshing scent, static-reduction, and mild cleansing action helps minimize expensive grooming visits as well!",,$12.99,,,,,,,
https://www.chewy.com/aquatop-submersible-glass-aquarium/dp/168637,Aquatop Submersible Glass Aquarium Heater,Aquatop,"Keep your aquarium at just the right temperature with the Aquatop Submersible Glass Aquarium Heater. Made of high-quality insulated glass, it’s the easy way to maintain the temperature your freshwater or marine aquariums need to keep your plants and critters healthy. The analog design makes it simple to use with just the turn of a knob to adjust the temperature to your needs, and it features a highly visible temperature setting to make monitoring the temperature easy, with no guesswork. Plus, it’s easy to set up with included suction cups, and is available from 50 to 300-watts for tanks of various sizes.",,$22.99,,,,,,,
https://www.chewy.com/onetigris-cotton-canvas-dog-backpack/dp/159298,OneTigris Cotton Canvas Dog Backpack,OneTigris,"**Remember to measure your pet for the paw-fect fit.** The OneTigris Cotton Canvas Medium & Large Dog Backpack lets you get into the wild with your adventurous pup. These sleek, stylish saddlebags are made from heavy-duty cotton canvas that’s lightweight and durable with a vintage look. There are a variety of storage options for all the food, water and supplies she’ll need for the day including large zippered pouches on each side that feature a small zippered inner pocket for keys, money or other small items, as well as outer pockets that are held closed with fuzzy fastener straps for quick and easy access. The fully adjustable neck strap and dual chest and belly straps with quick-release buckles provide a snug, secure and comfortable fit.",,$35.98,,,,,,,
https://www.chewy.com/frisco-circle-design-stainless-steel/dp/338267,Frisco Circle Design Stainless Steel Dog & Cat Bowl,Frisco,"It’s always a positive when our pets are excited to eat, and it doesn’t get more enticing than this pawsome circle design stainless-steel bowl. Think of it as pulling out the fancy cutlery for those special dinner dates, except this fancy bowl will be around all the time! Time to clean up? The stainless-steel bowl can be removed from the melamine base whenever things get dirty. It’s also top-rack dishwasher safe, making cleanup an absolute breeze.",,$8.29,,,,,,,
https://www.chewy.com/prevue-pet-products-tinkle-turf/dp/133559,Prevue Pet Products Tinkle Turf System for Dogs,Prevue Pet Products,"Prevue Pet Products Tinkle Turf System for Dogs provides a convenient option for your pup to relieve themselves when getting outdoors isn’t an easy option. The synthetic grass square tray will help protect your floors and furniture, plus it’s also an ideal training tool for young pups that can be easily transported when traveling with your pet. The lead-free tray is also protected with microbial odor control.  It’s a soft and realistic turf that’s easy to clean with warm water and dish soap then rinse and let air dry.  It works well with small and larger dogs, too.",,$87.20,,,,,,,
https://www.chewy.com/aquascape-fountain-scale-free-water/dp/391251,"Aquascape Fountain Scale Free Water Treatment, 8-oz bottle",Aquascape,"Help your finned friends breathe easily with the Aquascape Fountain Scale Free Fish WaterTreatment! This water treatment effectively eradicates hard water deposits, white scale and foam and helps keep your water clean and clear. Use regularly to prevent damage and clogging of pumps and plumbing. It features an enticing lavender smell, and it contains no chemicals or acids. It’s non-toxic, so it’s safe to use to keep your scaly sidekicks happy and healthy!",,$15.36,,,,,,,
https://www.chewy.com/904-custom-personalized-my-cat-i/dp/340764,"904 Custom Personalized My Cat & I Funny Double Sided Mug, 11-oz",904 Custom,"Celebrate your furry family member and show everyone just how much you love her with this paw-some 904 Custom Personalized My Cat & I Funny Double Sided Mug! This ceramic coffee mug is proudly made in the USA and can hold 11 oz. of your favorite coffee, tea, or other beverage of choice. Not only is it completely microwave and dishwasher safe for your convenience, but you can also have it personalized with custom text. This mug makes a great gift for fellow pet parents!",,$15.95,,,,,,,
https://www.chewy.com/iris-open-top-litter-box-scatter/dp/50447,IRIS USA Open Top Cat Litter Box w/Scatter Shield,IRIS,"The IRIS USA Open Top Cat Litter Box with Scatter Shield & Scoop features extra-tall walls to help contain litter and spray while keeping dirt out. The open top provides quick and easy access, while the deep design gives your cat a semi-private space to take care of business. Recessed bottoms and molded-in feet help keep the cat litter box in place, and the molded-in rims around the pan add extra strength and stability. Plus, the high-polished interior surfaces and included litter scoop make this litter box easy to clean!",,$16.32,,,,,,,
