url,name,Brand,Description,Rating,Price,LB,Price per LB,Primary Protein Source,Ingredient_Analysis,Guaranteed_Analysis,Life_Stage,Allergy
https://www.chewy.com/iams-proactive-health-minichunks/dp/171999,"Iams Proactive Health Minichunks Adult Lamb & Rice Dry Dog Food
",Iams,"Scientifically formulated to support 5 key areas of dogs’ health, so your buddy stays happy and full of life.
Supports healthy digestion and better nutrient absorption with its special blend of natural fiber and prebiotics.
With added omega-6 fatty acids that help support healthy skin and a glossy coat.
Essential antioxidants are added to help your pal have a strong immune system.
High-quality protein sourced from lamb and egg helps build and maintain muscle.",4.6,$47.98,30,$1.60,Lamb,"Lamb, Brewers Rice, Chicken By-Product Meal, Ground Whole Grain Barley, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Corn Gluten Meal, Chicken Fat (preserved with Mixed Tocopherols), Chicken Meal, Dried Plain Beet Pulp, Natural Flavor, Brewers Yeast, Dried Egg Product, Flaxseed, Potassium Chloride, Caramel Color, Carrots, Fructooligosaccharides, Choline Chloride, Vitamins (Vitamin E Supplement, Ascorbic Acid, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Vitamin A Supplement, Niacin, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Folic Acid), Minerals (Ferrous Sulfate, Zinc Oxide, Sodium Selenite, Manganese Sulfate, Manganous Oxide, Potassium Iodide), Mixed Tocopherols (Preservative), Citric Acid (Preservative), Rosemary Extract","Crude Protein: 25.0% min
Crude Fat: 14.0% min
Crude Fiber: 5.0% max
Moisture: 10.0% max",All Lifestages,Not specified
https://www.chewy.com/orijen-amazing-grains-six-fish-recipe/dp/380310,ORIJEN Amazing Grains Six Fish High-Protein Dry Dog Food,Orijen,"Indulge your furry friend with a drool-worthy kibble that supports their health from the inside out.
This kibble is crafted with fish protein and the most amazing grains to nourish your furbaby’s digestive health, provide immune support, and promote healthy skin and coat.
ORIJEN WholePrey kibble is made with quality fish ingredients, including organs and the most nutrient-rich parts of the prey to mimic an ancestral wild diet.
The first 6 ingredients are fresh or raw wild-caught salmon, whole herring, whole whiting, rockfish, flounder, and cod for a strong source of essential protein, vitamins, and minerals.
The freeze-dried coating offers a burst of raw flavor your tail wagger will instinctively crave.",4.4,$127.99,22.5,$5.69,Salmon,"Salmon, Whole Herring, Whole Whiting, Rockfish, Flounder, Cod, Herring Meal, Blue Whiting Meal, Oat Groats, Millet, Catfish Oil, Sardine Meal, Pollock Meal, Natural Salmon Flavor, Whole Oats, Ground Whole Flaxseed, Quinoa Seed, Chia Seed, Inulin, Vitamin E Supplement, Mixed Tocopherols (Preservative), Dried Kelp, Whole Cranberries, Zinc Proteinate, Whole Pumpkin, Whole Butternut Squash, Whole Zucchini, Whole Carrots, Whole Apples, Whole Pears, Niacin, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin, Folic Acid, Vitamin B12 Supplement, Kale, Spinach, Beet Greens, Turnip Greens, Copper Proteinate, Whole Blueberries, Turmeric, Sarsaparilla Root, Althea Root, Rosehips, Juniper Berries, Dried Bacillus Coagulans Fermentation Product, Citric Acid (Preservative), Rosemary Extract.","Crude Protein: 38% min
Crude Fat: 16% min
Crude Fiber: 10% max
Moisture: 12% max",All Lifestages,"Chicken-free
Gluten free
No Corn
No Wheat
No soy
Non-GMO
"
https://www.chewy.com/nulo-freestyle-cod-lentils-recipe/dp/277880,Nulo Freestyle Cod & Lentils Recipe Grain-Free Adult Trim Dry Dog Food,Nulo,"This weight management dog food is packed with fiber and low in fat to help your dog feel full while promoting healthy, lean muscle.
Features 74% of protein from premium animal sources to support an active lifestyle.
Fortified with L-carnitine to help your dog metabolize fat and maintain lean muscles.
Promotes healthy digestion, a strong immune system, and heart health with prebiotic fiber, guaranteed probiotics, and taurine.
Free from fillers and artificial additives, this nutrient-dense kibble contains no grain, corn, wheat, soy, white potatoes, or tapioca ingredients.",4.6,$89.99,26,$3.46,Deboned Cod,"Deboned Cod, Turkey Meal, Whole Peas, Chickpeas, Lentils, Sweet Potato, Deboned Turkey, Natural Flavor, Salmon Meal, Pea Fiber, Chicken Fat (Preserved With Mixed Tocopherols & Citric Acid), Potassium Chloride, Dried Tomatoes, Yeast Culture, DL-Methionine, Salt, Choline Chloride, Taurine, L-Carnitine, Vitamin E Supplement, Dried Chicory Root, Dried Blueberries, Dried Apples, Dried Carrots, Zinc Proteinate, Zinc Sulfate, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Iron Proteinate, Niacin Supplement, Ferrous Sulfate, Copper Proteinate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, Manganese Proteinate, D-Calcium Pantothenate, Riboflavin Supplement, Dried Bacillus Coagulans Fermentation Product, Pyridoxine Hydrochloride, Manganous Oxide, Biotin, Vitamin B12 Supplement, Ethylenediamine Dihydroiodide, Folic Acid, Vitamin D3 Supplement, Sodium Selenite, Calcium Iodate, Rosemary Extract.","Crude Protein: 30.00% min
Crude Fat: 7.00% min
Crude Fiber: 6.00% max
Moisture: 10.00% max",Adult,"No Corn
No Wheat
No soy
Grain-free"
https://www.chewy.com/honest-kitchen-food-clusters-whole/dp/248515,The Honest Kitchen Human Grade Food Clusters Whole Grain Chicken & Oat Recipe Dog Food,The honest kitchen,"Made from human-grade ingredients in a human food facility. Now your dog can eat like you!
A delicious and nutritious add-on for dogs of all breeds, sizes, and ages.
Meat, liver, oats, beneficial fats, and probiotics are cold-pressed into bite-sized clusters.
Dehydrated in order to hold the nutrients, taste, and smell of the honest ingredients.
Free of artificial flavors or preservatives, GMOs, gums, carrageenan, feed-grade ingredients, meat meals or fillers.",4.4,$89.19,20,$4.46,Chicken,"Chicken, Oats, Barley, Flaxseed, Chicken Liver, Carrots, Tricalcium Phosphate, Natural Chicken Flavor, Coconut Oil, Eggs, Salt, Broccoli, Pumpkin, Apples, Potassium Chloride, Vitamins [Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Folic Acid, Vitamin B12 Supplement, Niacin Supplement], Fish Oil, Taurine, Minerals [Iron Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Zinc Amino Acid Chelate, Sodium Selenite], Choline Chloride, Mixed Tocopherols (Preservative), Kale, Dried Kelp, Chia Seed, Turmeric, L-Carnitine, Dried Bacillus Coagulans Fermentation Product, Rosemary Extract.","Crude Protein: 26.0% min
Crude Fat: 14.5% min
Crude Fiber: 5.0% max
Moisture: 12.0% max",All Lifestages,"No Corn
No Wheat
No soy
Non-GMO"
https://www.chewy.com/farmina-nd-ancestral-grain-lamb/dp/202218,"Farmina N&D Ancestral Grain Lamb & Blueberry Medium & Maxi Adult Dry Dog Food,",Farmina,"The #1 ingredient in this high protein, limited carbohydrate, and low fiber all life stage dog food is lamb.
90% of protein is from quality animal sources.
It's a low glycemic formula so it's a great option for pets that need a food that won't spike blood sugar.
Contains no whole peas, legumes, meals or by-products.
Food vitamins retain their freshness through a coating system that allows them to be included post cooking.",4.6,$105.99,26.4,$4.01,Lamb,"Lamb, Dehydrated Lamb, Dehydrated Chicken, Whole Spelt, Whole Oats, Dried Whole Eggs, Herring, Dehydrated Herring, Whole Barley, Chicken Fat, Dehydrated Pork, Pork Fat, Natural Flavors, Herring Oil, Dried Beet Pulp, Dried Carrot, Suncured Alfalfa Meal, Inulin, Fructooligosaccharide, Yeast Extract, Dried Blueberry, Dried Apple, Dried Pomegranate, Dried Sweet Orange, Dried Spinach, Psyllium Seed Husk, Potassium Chloride, Salt, Brewers Dried Yeast, Turmeric, Glucosamine Hydrochloride, Chondroitin Sulfate, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Ascorbic Acid, Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Biotin, Folic Acid, Vitamin B12 Supplement, Choline Chloride, Beta-Carotene, Zinc Methionine Hydroxy Analogue Chelate, Manganese Methionine Hydroxy Analogue Chelate, Ferrous Glycine, Copper Methionine Hydroxy Analogue Chelate, Selenium Yeast, DL-Methionine, Taurine, L-Carnitine, Aloe Vera Gel Concentrate, Green Tea Extract, Rosemary Extract, Mixed Tocopherols (A Preservative).","Crude Protein: 28.0% min
Crude Fat: 18% min
Crude Fiber: 2.9% max
Moisture: 9.0% max",All Lifestages,"No Corn
No Wheat
No soy
Non-GMO"
https://www.chewy.com/hills-science-diet-adult-small-mini/dp/34122,Hill's Science Diet Adult Small Breed & Mini Breed Chicken Meal & Rice Recipe Dry Dog Food,Hill’s,"High-quality protein supports lean muscles.
The right combination of protein, fats, and cabs supports balanced energy.
Balanced nutrition helps your small breed dog maintain an ideal body weight.
Easy-to-digest ingredients, including pumpkin, promote healthy digestion.
This recipe is made with tasty, natural ingredients.",4.8,$61.99,15.5,$4.00,Chicken,"Chicken, Brown Rice, Whole Grain Wheat, Whole Grain Corn, Brewers Rice, Chicken Meal, Whole Grain Sorghum, Chicken Fat, Soybean Meal, Chicken Liver Flavor, Corn Protein Meal, Pork Liver Flavor, Flaxseed, Lactic Acid, Soybean Oil, Potassium Chloride, L-Lysine, Whole Grain Oats, Iodized Salt, Fructooligosaccharides (FOS), vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Pumpkin, Choline Chloride, DL-Methionine, Calcium Carbonate, Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Mixed Tocopherols for freshness, Natural Flavors, L-Carnitine, Beta-Carotene.","Crude Protein: 20.0% min
Crude Fat: 12.5% min
Crude Fiber: 4.0% max",Adult,Not specified
https://www.chewy.com/now-fresh-grain-free-senior-formula/dp/287668,Now Fresh Grain-Free Senior Formula Dry Dog Food,Now Fresh,"This recipe delivers complete and balanced nutrition for senior dogs.
The food is enriched with premium-quality protein from fresh de-boned turkey, salmon, and duck for muscle maintenance.
New Zealand green mussels, a natural source of chondroitin, support your best friend’s joint health and mobility.
Fiber-rich pumpkin and sweet potato support good digestion to help keep your senior dog comfy.
Made with wholesome ingredients and minimally processed fresh meat, with no by-product or meat meals.",4.6,$24.99,3.5,$7.14,De-Boned Turkey,"De-Boned Turkey, Peas, Potatoes, Potato Flour, Pea Fiber, Whole Dried Egg, Natural Flavour, Apples, Flaxseed, De-Boned Salmon, De-Boned Duck, Calcium Carbonate, Canola Oil (Preserved With Mixed Tocopherols), Tomato, Alfalfa, Coconut Oil (Preserved With Mixed Tocopherols), Monocalcium Phosphate, Carrots, Pumpkin, Sweet Potatoes, Squash, Bananas, Blueberries, Cranberries, Blackberries, Pomegranate, Papayas, Lentils, Broccoli, Lentils, Broccoli, Sodium Chloride, Dried Chicory Root, Choline Chloride, Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (A Source Of Vitamin C), Niacin, D-Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Riboflavin, Beta-Carotene, Vitamin B12 Supplement, Biotin, Pyridoxine Hydrochloride, Vitamin D3 Supplement, Folic Acid), Minerals (Ferrous Sulphate, Zinc Proteinate, Iron Proteinate, Selenium Yeast, Zinc Oxide, Copper Sulphate, Manganese Proteinate, Copper Proteinate, Manganous Oxide, Calcium Iodate), Taurine, Dl-Methionine, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, L-Lysine, Potassium Chloride, Glucosamine Hydrochloride, New Zealand Green Mussels, Yucca Schidigera Extract, Chondroitin Sulphate, L-Carnitine, Dried Rosemary.","Crude Protein: 24.0% min
Crude Fat: 11% min
Crude Fiber: 7% max
Moisture: 10.0% max",Senior,"Grain-Free
Gluten Free
Chicken-Free
No Corn
No Wheat
No soy"
https://www.chewy.com/royal-canin-size-health-nutrition/dp/778790,Royal Canin Size Health Nutrition Small Puppy Dry Dog Food,Royal Canin,"Small breed dry puppy food is formulated for puppies 2 to 10 months old with an expected adult weight of 9 to 22 pounds.
Crunchy kibble texture is simple to serve and pairs perfectly with Royal Canin Small Puppy Thin Slices in Gravy canned puppy food (sold separately).
Supports your puppy’s brain development and energy needs during growth.
Antioxidants support your furbaby’s immune system and prebiotics and proteins promote his digestive health.
Give your puppy a savory textured meal by mixing in Royal Canin Small Puppy Thin Slices in Gravy canned puppy food (sold separately).",4.8,$66.99,14,$4.79,Chicken,"Chicken By-Product Meal, Brewers Rice, Chicken Fat, Wheat Gluten, Corn, Dried Plain Beet Pulp, Natural Flavors, Corn Gluten Meal, Monocalcium Phosphate, Pea Fiber, Vegetable Oil, Sodium Aluminosilicate, Calcium Carbonate, Potassium Chloride, Fish Oil, Taurine, Fructooligosaccharides, Sodium Tripolyphosphate, Rice Flour, Hydrolyzed Yeast, Salt, Choline Chloride, Marine Microalgae Oil, Dl-Methionine, Vitamins[Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid, Niacin Supplement, Vitamin B12 Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin D3 Supplement, Riboflavin Supplement], Trace Minerals[Zinc Proteinate, Manganese Proteinate, Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Sodium Selenite, Calcium Iodate, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), L-Lysine, Yucca Schidigera Extract, Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.","Crude Protein: 29.0% min
Crude Fat: 18% min
Crude Fiber: 3.9% max
Moisture: 10.5% max",Puppy,Not specified
https://www.chewy.com/blue-buffalo-life-protection-formula/dp/32041,Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food,Blue Buffalo,"This recipe is made with real, high-quality chicken as the first ingredient for a protein-packed meal.
It includes premium ingredients and is made without chicken (or poultry) by-product meals, corn, wheat, or soy.
It contains omega-3 and -6 fatty acids for healthy skin and coat.
This formulation contains exclusive LifeSource Bits, which provide a precise blend of antioxidants, vitamins, and minerals.
Each serving features glucosamine and chondroitin for joint health in senior furbabies.",4.6,$68.98,30,$2.30,Deboned Chicken,"Deboned Chicken, Chicken Meal, Brown Rice, Oatmeal, Barley, Peas, Chicken Fat (preserved with Mixed Tocopherols), Dried Tomato Pomace, Natural Flavor, Flaxseed (source of Omega 3 & 6 Fatty Acids), Dried Yeast, Salt, Direct Dehydrated Alfalfa Pellets, Potassium Chloride, Dried Chicory Root, Alfalfa Nutrient Concentrate, Calcium Carbonate, Choline Chloride, L-Threonine, DL-Methionine, preserved with Mixed Tocopherols, Dried Sweet Potatoes, Carrots, Taurine, Zinc Amino Acid Chelate, Zinc Sulfate, Vegetable Juice for color, Ferrous Sulfate, Vitamin E Supplement, Iron Amino Acid Chelate, Glucosamine Hydrochloride, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Niacin (Vitamin B3), Calcium Pantothenate (Vitamin B5), Copper Sulfate, Biotin (Vitamin B7), L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Lysine, Vitamin A Supplement, Copper Amino Acid Chelate, Manganese Sulfate, Manganese Amino Acid Chelate, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Calcium Iodate, Folic Acid (Vitamin B9), Sodium Selenite, Oil of Rosemary.","Crude Protein: 24.0% min
Crude Fat: 14% min
Crude Fiber: 5.0% max
Moisture: 10.0% max",Adult,"No Corn
No Wheat
No soy"
https://www.chewy.com/purina-one-natural-smartblend-chicken/dp/170134,Purina ONE Natural Adult Chicken & Rice Formula Dry Dog Food,Purina one,"Real chicken is the first ingredient in this veterinarian-recommended food featuring protein-rich, tender, meaty morsels and crunchy kibble for a taste your furbaby will love.
4 antioxidant sources provide immune support, while natural sources of glucosamine help support healthy joints.
This recipe includes omega-6 fatty acids, vitamins, and minerals, to support your best friend’s skin and coat health.
It’s free of fillers, so all of the ingredients have a purpose.
The recipe provides complete and balanced nutrition and is highly digestible, so more nutrition goes to work inside your dog.",4.7,$60.00,40,$1.50,Chicken,"Chicken, Rice Flour, Corn Protein Meal, Whole Grain Corn, Chicken By-Product Meal, Whole Grain Wheat, Soybean Meal, Beef Fat Preserved With Mixed-Tocopherols, Natural Flavor, Glycerin, Calcium Carbonate, Mono And Dicalcium Phosphate, Dried Chicory Root, Salt, Potassium Chloride, Dried Carrots, Dried Peas, Vegetable Juice (Color), VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7)], MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Choline Chloride, DL-Methionine, L-Lysine Monohydrochloride. A415423","Crude Protein: 26.0% min
Crude Fat: 16% min
Crude Fiber: 3.0% max
Moisture: 12.0% max",All Lifestages,Non-GMO
