url,name,Brand,Description,Overall_Rating,Price,LB,Price per LB,Main Ingredients,Ingredient_Analysis,Guaranteed_Analysis,Life_Stage,Allergy,Human_Grade,Images
https://www.chewy.com/iams-proactive-health-minichunks/dp/171999,"Iams Proactive Health Minichunks Adult Lamb & Rice Dry Dog Food
",Iams,"Scientifically formulated to support 5 key areas of dogs’ health, so your buddy stays happy and full of life.
Supports healthy digestion and better nutrient absorption with its special blend of natural fiber and prebiotics.
With added omega-6 fatty acids that help support healthy skin and a glossy coat.
Essential antioxidants are added to help your pal have a strong immune system.
High-quality protein sourced from lamb and egg helps build and maintain muscle.",4.6,$47.98,30,$1.60,Lamb,"Lamb, Brewers Rice, Chicken By-Product Meal, Ground Whole Grain Barley, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Corn Gluten Meal, Chicken Fat (preserved with Mixed Tocopherols), Chicken Meal, Dried Plain Beet Pulp, Natural Flavor, Brewers Yeast, Dried Egg Product, Flaxseed, Potassium Chloride, Caramel Color, Carrots, Fructooligosaccharides, Choline Chloride, Vitamins (Vitamin E Supplement, Ascorbic Acid, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Vitamin A Supplement, Niacin, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Folic Acid), Minerals (Ferrous Sulfate, Zinc Oxide, Sodium Selenite, Manganese Sulfate, Manganous Oxide, Potassium Iodide), Mixed Tocopherols (Preservative), Citric Acid (Preservative), Rosemary Extract","Crude Protein: 25.0% min
Crude Fat: 14.0% min
Crude Fiber: 5.0% max
Moisture: 10.0% max",,,,
https://www.chewy.com/orijen-amazing-grains-six-fish-recipe/dp/380310,ORIJEN Amazing Grains Six Fish High-Protein Dry Dog Food,ORIJEN ,"Indulge your furry friend with a drool-worthy kibble that supports their health from the inside out.
This kibble is crafted with fish protein and the most amazing grains to nourish your furbaby’s digestive health, provide immune support, and promote healthy skin and coat.
ORIJEN WholePrey kibble is made with quality fish ingredients, including organs and the most nutrient-rich parts of the prey to mimic an ancestral wild diet.
The first 6 ingredients are fresh or raw wild-caught salmon, whole herring, whole whiting, rockfish, flounder, and cod for a strong source of essential protein, vitamins, and minerals.
The freeze-dried coating offers a burst of raw flavor your tail wagger will instinctively crave.",4.4,$127.99,22.5,$5.69,Salmon,"Salmon, Whole Herring, Whole Whiting, Rockfish, Flounder, Cod, Herring Meal, Blue Whiting Meal, Oat Groats, Millet, Catfish Oil, Sardine Meal, Pollock Meal, Natural Salmon Flavor, Whole Oats, Ground Whole Flaxseed, Quinoa Seed, Chia Seed, Inulin, Vitamin E Supplement, Mixed Tocopherols (Preservative), Dried Kelp, Whole Cranberries, Zinc Proteinate, Whole Pumpkin, Whole Butternut Squash, Whole Zucchini, Whole Carrots, Whole Apples, Whole Pears, Niacin, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin, Folic Acid, Vitamin B12 Supplement, Kale, Spinach, Beet Greens, Turnip Greens, Copper Proteinate, Whole Blueberries, Turmeric, Sarsaparilla Root, Althea Root, Rosehips, Juniper Berries, Dried Bacillus Coagulans Fermentation Product, Citric Acid (Preservative), Rosemary Extract.","Crude Protein: 38% min
Crude Fat: 16% min
Crude Fiber: 10% max
Moisture: 12% max",,,,
https://www.chewy.com/nulo-freestyle-cod-lentils-recipe/dp/277880,Nulo Freestyle Cod & Lentils Recipe Grain-Free Adult Trim Dry Dog Food,Nulo,"This weight management dog food is packed with fiber and low in fat to help your dog feel full while promoting healthy, lean muscle.
Features 74% of protein from premium animal sources to support an active lifestyle.
Fortified with L-carnitine to help your dog metabolize fat and maintain lean muscles.
Promotes healthy digestion, a strong immune system, and heart health with prebiotic fiber, guaranteed probiotics, and taurine.
Free from fillers and artificial additives, this nutrient-dense kibble contains no grain, corn, wheat, soy, white potatoes, or tapioca ingredients.",4.6,$89.99,26,$3.46,Deboned Cod,"Deboned Cod, Turkey Meal, Whole Peas, Chickpeas, Lentils, Sweet Potato, Deboned Turkey, Natural Flavor, Salmon Meal, Pea Fiber, Chicken Fat (Preserved With Mixed Tocopherols & Citric Acid), Potassium Chloride, Dried Tomatoes, Yeast Culture, DL-Methionine, Salt, Choline Chloride, Taurine, L-Carnitine, Vitamin E Supplement, Dried Chicory Root, Dried Blueberries, Dried Apples, Dried Carrots, Zinc Proteinate, Zinc Sulfate, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Iron Proteinate, Niacin Supplement, Ferrous Sulfate, Copper Proteinate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, Manganese Proteinate, D-Calcium Pantothenate, Riboflavin Supplement, Dried Bacillus Coagulans Fermentation Product, Pyridoxine Hydrochloride, Manganous Oxide, Biotin, Vitamin B12 Supplement, Ethylenediamine Dihydroiodide, Folic Acid, Vitamin D3 Supplement, Sodium Selenite, Calcium Iodate, Rosemary Extract.","Crude Protein: 30.00% min
Crude Fat: 7.00% min / 9.00% max
Crude Fiber: 6.00% max
Moisture: 10.00% max",,,,
https://www.chewy.com/aquatop-submersible-glass-aquarium/dp/168637,Aquatop Submersible Glass Aquarium Heater,Aquatop,"Keep your aquarium at just the right temperature with the Aquatop Submersible Glass Aquarium Heater. Made of high-quality insulated glass, it’s the easy way to maintain the temperature your freshwater or marine aquariums need to keep your plants and critters healthy. The analog design makes it simple to use with just the turn of a knob to adjust the temperature to your needs, and it features a highly visible temperature setting to make monitoring the temperature easy, with no guesswork. Plus, it’s easy to set up with included suction cups, and is available from 50 to 300-watts for tanks of various sizes.",,$22.99,,,,,,,,,
https://www.chewy.com/onetigris-cotton-canvas-dog-backpack/dp/159298,OneTigris Cotton Canvas Dog Backpack,OneTigris,"**Remember to measure your pet for the paw-fect fit.** The OneTigris Cotton Canvas Medium & Large Dog Backpack lets you get into the wild with your adventurous pup. These sleek, stylish saddlebags are made from heavy-duty cotton canvas that’s lightweight and durable with a vintage look. There are a variety of storage options for all the food, water and supplies she’ll need for the day including large zippered pouches on each side that feature a small zippered inner pocket for keys, money or other small items, as well as outer pockets that are held closed with fuzzy fastener straps for quick and easy access. The fully adjustable neck strap and dual chest and belly straps with quick-release buckles provide a snug, secure and comfortable fit.",,$35.98,,,,,,,,,
https://www.chewy.com/frisco-circle-design-stainless-steel/dp/338267,Frisco Circle Design Stainless Steel Dog & Cat Bowl,Frisco,"It’s always a positive when our pets are excited to eat, and it doesn’t get more enticing than this pawsome circle design stainless-steel bowl. Think of it as pulling out the fancy cutlery for those special dinner dates, except this fancy bowl will be around all the time! Time to clean up? The stainless-steel bowl can be removed from the melamine base whenever things get dirty. It’s also top-rack dishwasher safe, making cleanup an absolute breeze.",,$8.29,,,,,,,,,
https://www.chewy.com/prevue-pet-products-tinkle-turf/dp/133559,Prevue Pet Products Tinkle Turf System for Dogs,Prevue Pet Products,"Prevue Pet Products Tinkle Turf System for Dogs provides a convenient option for your pup to relieve themselves when getting outdoors isn’t an easy option. The synthetic grass square tray will help protect your floors and furniture, plus it’s also an ideal training tool for young pups that can be easily transported when traveling with your pet. The lead-free tray is also protected with microbial odor control.  It’s a soft and realistic turf that’s easy to clean with warm water and dish soap then rinse and let air dry.  It works well with small and larger dogs, too.",,$87.20,,,,,,,,,
https://www.chewy.com/aquascape-fountain-scale-free-water/dp/391251,"Aquascape Fountain Scale Free Water Treatment, 8-oz bottle",Aquascape,"Help your finned friends breathe easily with the Aquascape Fountain Scale Free Fish WaterTreatment! This water treatment effectively eradicates hard water deposits, white scale and foam and helps keep your water clean and clear. Use regularly to prevent damage and clogging of pumps and plumbing. It features an enticing lavender smell, and it contains no chemicals or acids. It’s non-toxic, so it’s safe to use to keep your scaly sidekicks happy and healthy!",,$15.36,,,,,,,,,
https://www.chewy.com/904-custom-personalized-my-cat-i/dp/340764,"904 Custom Personalized My Cat & I Funny Double Sided Mug, 11-oz",904 Custom,"Celebrate your furry family member and show everyone just how much you love her with this paw-some 904 Custom Personalized My Cat & I Funny Double Sided Mug! This ceramic coffee mug is proudly made in the USA and can hold 11 oz. of your favorite coffee, tea, or other beverage of choice. Not only is it completely microwave and dishwasher safe for your convenience, but you can also have it personalized with custom text. This mug makes a great gift for fellow pet parents!",,$15.95,,,,,,,,,
https://www.chewy.com/iris-open-top-litter-box-scatter/dp/50447,IRIS USA Open Top Cat Litter Box w/Scatter Shield,IRIS,"The IRIS USA Open Top Cat Litter Box with Scatter Shield & Scoop features extra-tall walls to help contain litter and spray while keeping dirt out. The open top provides quick and easy access, while the deep design gives your cat a semi-private space to take care of business. Recessed bottoms and molded-in feet help keep the cat litter box in place, and the molded-in rims around the pan add extra strength and stability. Plus, the high-polished interior surfaces and included litter scoop make this litter box easy to clean!",,$16.32,,,,,,,,,
https://www.chewy.com/hyper-pet-flippy-flopper-flying-disc/dp/171824,"Hyper Pet Flippy Flopper Flying Disc Dog Toy, Color Varies, 9-in",Hyper Pet,"Help your dog spend his boundless reserves of energy with the Hyper Pet Flippy Flopper Flying Disc. This interactive toss and fetch toy will provide hours of playtime for you and your furry friend. Made from soft rubber and nylon, the toy measures nine inches in diameter and comes in a variety of colors. It’s safe for your pal’s teeth and durable enough to withstand daily play sessions. The flying dog toy acts like a frisbee and floats in water, plus it complies with children’s toy standards, so you can feel safe about letting your kids have fun with it too. Choose from a 1-pack, 2-pack or 5-pack!",,$8.95,,,,,,,,,
https://www.chewy.com/underwater-treasures-bubble-disk/dp/342270,Underwater Treasures Bubble Disk Aquarium Pump,Underwater Treasures,"Provide live-sustaining oxygen to your underwater pals with the Bubble Disk Aquarium Pump from Underwater Treasure! Simply pop in this aquarium pump and watch as oxygen-rich bubbles provide ample energy for your active fish. The size and output of your air pump can establish how large a portion of the disk will discharge these air bubbles. Plus, it is easily cleanable — just rinse the bubble disk in clear water to remove dust.",,$3.49,,,,,,,,,
https://www.chewy.com/wild-one-dog-poop-bags-120-count/dp/393895,"Wild One Dog Poop Bags, 120 count",Wild One,"Take care of business after your dog takes care of his with Wild One Dog Poop Bags. These unscented bags are made with a corn starch blend, which makes them extra thick and leak proof to help contain the mess inside where it belongs. Each purchase comes with 120 blush-colored bags (12 rolls total)!",,$12.99,,,,,,,,,
https://www.chewy.com/scratch-peck-feeds-naturally-free/dp/214671,Scratch and Peck Feeds Naturally Free Organic Starter Chicken & Duck Feed,Scratch and Peck Feeds,"Give your growing chicks and ducklings the nutrition and taste they need to thrive with the Scratch and Peck Naturally Free Organic Starter Chicken Food. Formulated with organic, raw whole grains like wheat and barley, plus nutrient-rich meals like sesame, flax and kelp, it’s a complete and balanced feed for starting poultry chicks and ducklings. Naturally free of soy, corn or fillers, it packs more nutrition in every peck—like omegas, vitamins, minerals, probiotics and essential amino acids. Plus, it’s sourced and made in the USA with never any GMO foods.",,$76.99,,,,,,,,,
https://www.chewy.com/hartz-cattraction-silver-vine-catnip/dp/227885,"Hartz Cattraction Silver Vine & Catnip Plush Macaron Mice Cat Toy, 2 count",Hartz,"Entice your pretty kitty to play with Cattraction Silver Vine & Catnip Plush Macaron Mice Cat Toys from Hartz. This pair of plush pastry macaron mice come in pastel colors with jingly bells and expressive features to intrigue your furry friend. They are filled with a potent combination of silver vine and catnip attractants to grab your paw-tner’s attention and enhance her playtime. These toys are also light enough for your companion to carry, swat and bat for hours of enjoyment. Hartz Cattraction Silver Vine & Catnip Plush Macaron Mice Cat Toys stimulate your sidekick’s natural instincts to fulfill her need to play.",,$5.99,,,,,,,,,
https://www.chewy.com/farm-innovators-drain-plug-de-icer/dp/312303,Farm Innovators Drain Plug De-Icer,Farm Innovators,"Say goodbye to frozen stock tanks this winter with the Farm Innovators Drain Plug De-Icer. This de-icer delivers 1500 watts of power and can be used in all Rubbermaid stock tanks with drain holes (sold separately). It’s designed to fit through the drain plug hole for easy installation, and is unnoticeable to livestock. This submersible de-icer is suitable for tanks up to 300 gallons. It’s thermostatically controlled to operate only when the water temperature reaches 35 degrees or less, saving you electricity.",,$59.29,,,,,,,,,
https://www.chewy.com/frisco-fashion-bow-striped-mdlg/dp/313901,"Frisco Fashion Bow, Striped",Frisco,"The perfect everyday look for your pup or kitty starts with a bow tie. And actually, that’s all you need! It’s a statement piece, it’s easy to wear, it brings out their best features, it’s a little dressed-up moment to make any day special. Simply put it on with an elastic band and your pet will be ready to rock the look to impress that playdate or just look cute for the fun of it.",,$1.82,,,,,,,,,
https://www.chewy.com/aquapaw-pro-dog-grooming-tool-blue/dp/270028,"Aquapaw Pro Dog Grooming Tool, Blue",Aquapaw,"Bath time has never been easier than with the Aquapaw Pro Dog Grooming Tool. It combines a silicone sprayer and a scrubber in one convenient tool, so you can rinse and brush your furry friend’s coat at the same time! The sprayer-scrubber features a 2-stage button mechanism that you can click to Low, High and ON and Off with one hand. It gives you total control over your pet and the flow of water during the entire bathing process, eliminating much of the time and fuss involved in bath time. This particular tool was designed with larger dogs and thicker coats in mind to help save time, reduce mess and eliminate the stress of bath time for you and your pet!",,$44.95,,,,,,,,,
